seller_id,total_transactions,successful_transactions,avg_rating,rating_count,refund_rate,complaint_count,account_age_days,late_delivery_rate,average_response_time_hours,inventory_count,price_variance_index,review_sentiment_score,fraud_flag_history,chargeback_rate,verification_status,success_rate,complaint_ratio,trust_label,trust_score
1,910,910,3.94,2907,0.131,79,849,0.157,67.73,7714,0.349,0.363,0,0.019,1,1,0.08681318681,0,144
2,3822,3822,4.49,983,0.011,31,2316,0.048,9.08,5899,0.654,-0.414,2,0.143,1,1,0.008110936682,0,142.14
3,3142,3142,2.15,1191,0.178,7,2511,0.464,48.78,8029,0.131,-0.935,3,0.115,0,1,0.002227880331,0,83.44
4,516,516,4.56,75,0.042,76,2781,0.436,10.38,8716,0.82,-0.942,1,0.06,0,1,0.1472868217,0,126.39
5,4476,1724,3.65,2006,0.248,61,971,0.396,38.24,5929,0.37,0.886,1,0.074,1,0.3851653262,0.0136282395,0,125.89
6,3494,3494,2.59,2916,0.248,74,570,0.347,39.1,289,0.63,0.889,3,0.018,0,1,0.02117916428,0,109.37
7,3221,556,2.95,580,0.015,19,2710,0.258,4.03,4865,0.499,-0.577,1,0.065,0,0.1726171996,0.005898789196,0,91.48
8,2969,2690,2.85,3902,0.116,17,2275,0.449,68.74,8757,0.519,-0.705,4,0.193,1,0.906028966,0.005725833614,0,102.66
9,180,180,3.59,317,0.165,5,1739,0.396,58.27,5162,0.738,-0.964,4,0.097,1,1,0.02777777778,0,113.8
10,1735,309,2.16,3418,0.22,83,2559,0.408,22.5,7471,0.627,-0.537,3,0.095,1,0.1780979827,0.04783861671,0,81.26
11,819,819,2.48,3752,0.118,95,1232,0.155,10.27,7801,0.25,-0.331,4,0.126,0,1,0.115995116,0,96.31
12,2441,2441,4.44,792,0.115,28,898,0.212,25.54,300,0.074,-0.518,2,0.097,0,1,0.01147070873,0,127.61
13,2483,2483,2.4,130,0.393,3,2600,0.353,64.49,4890,0.84,0.595,1,0.071,0,1,0.001208215868,0,104.82
14,1234,1234,2.7,775,0.017,70,680,0.186,10.42,7993,0.885,0.499,2,0.028,0,1,0.056726094,0,114.1
15,4605,1781,3.36,3485,0.396,42,466,0.247,25.8,7733,0.164,-0.838,3,0.126,1,0.3867535288,0.009120521173,0,99.09
16,3435,3435,3.55,782,0.019,83,1818,0.323,36.1,7978,0.309,0.395,4,0.15,0,1,0.02416302766,0,119.18
17,4167,4167,4.29,3728,0.115,33,2934,0.219,3.33,1632,0.282,0.041,2,0.185,0,1,0.007919366451,0,130
18,4893,2391,3.34,3867,0.197,99,343,0.397,20.03,3561,0.937,-0.736,2,0.001,0,0.4886572655,0.0202329859,0,96.58
19,2954,2954,4.37,3649,0.057,70,48,0.058,43.29,4188,0.205,0.479,0,0.013,0,1,0.02369668246,1,143.78
20,524,524,3.86,3924,0.054,32,1213,0.359,24,3285,0.167,-0.828,2,0.18,0,1,0.06106870229,0,114.42
21,1132,1132,2.34,2153,0.103,14,847,0.073,62.81,5267,0.182,-0.646,4,0.126,1,1,0.01236749117,0,102.1
22,2608,2608,2.47,3195,0.389,95,151,0.469,67.51,8284,0.73,-0.702,1,0.192,1,1,0.03642638037,0,100.58
23,2097,2097,3.31,996,0.152,85,2149,0.157,32.35,4005,0.888,0.878,1,0.086,1,1,0.04053409633,0,136.72
24,2797,2797,3.19,2019,0.226,39,1108,0.398,38.77,5816,0.393,0.396,1,0.083,1,1,0.0139435109,0,126.61
25,1025,1025,4.23,3950,0.282,92,2537,0.261,45.79,8849,0.136,-0.177,4,0.069,0,1,0.08975609756,0,121.15
26,1856,1149,3.74,3510,0.297,88,198,0.046,48.18,6772,0.586,0.644,1,0.029,0,0.6190732759,0.0474137931,0,122.72
27,239,239,3.16,549,0.275,4,2659,0.291,5.49,3702,0.21,-0.568,1,0.076,1,1,0.01673640167,0,116.92
28,2784,2784,2.51,3899,0.135,77,1202,0.456,4.81,1767,0.064,0.862,3,0.003,0,1,0.02765804598,0,108.66
29,3055,3055,2.68,2059,0.045,49,658,0.079,62.46,4965,0.886,0.394,3,0.102,0,1,0.01603927987,0,110.66
30,4708,224,3.73,3293,0.113,98,55,0.161,16.61,6472,0.871,0.119,0,0.169,0,0.04757858963,0.02081563297,0,108.1
31,1949,692,3.27,589,0.084,65,1301,0.22,42.47,5974,0.976,0.589,0,0.064,1,0.3550538738,0.03335043612,0,122.94
32,1317,509,3.54,1673,0.055,88,2798,0.138,45.35,7424,0.474,0.29,2,0.019,1,0.3864844343,0.06681852696,0,122.33
33,1578,1578,2.51,2390,0.01,53,1976,0.472,12.68,7214,0.294,0.774,2,0.195,0,1,0.03358681876,0,109.57
34,3252,1453,3.99,1057,0.374,79,1759,0.189,55.07,6858,0.77,0.658,2,0.026,0,0.446801968,0.02429274293,0,118.61
35,3606,2738,4.56,3846,0.368,45,1886,0.329,62.48,735,0.18,-0.604,0,0.106,1,0.7592900721,0.01247920133,0,132.68
36,3940,3205,2.77,3449,0.02,79,1063,0.112,21.26,1117,0.243,-0.521,1,0.162,1,0.8134517766,0.02005076142,0,112.57
37,696,696,3.47,2799,0.069,10,1148,0.11,63.33,4358,0.256,-0.87,2,0.05,0,1,0.01436781609,0,111.72
38,2938,2044,4.93,515,0.056,48,2198,0.088,6.75,8096,0.952,-0.56,1,0.168,0,0.6957113683,0.01633764466,0,131.86
39,2485,2485,3,3057,0.112,98,155,0.217,57.83,7083,0.73,-0.313,1,0.111,0,1,0.03943661972,0,109.91
40,650,650,3.79,3257,0.082,22,2626,0.266,46.45,834,0.134,-0.942,0,0.066,1,1,0.03384615385,0,127.88
41,2413,941,2.27,3510,0.378,54,1122,0.005,42.4,4612,0.093,-0.37,3,0.173,0,0.3899709905,0.0223787816,0,79.7
42,2111,2111,3.82,1920,0.034,4,2374,0.416,17.34,9936,0.843,0.543,3,0.124,1,1,0.00189483657,0,135.82
43,291,291,2.27,742,0.085,63,715,0.256,26.69,7502,0.802,0.681,4,0.123,0,1,0.2164948454,0,102.8
44,2091,2091,4.88,3523,0.032,34,1002,0.079,65.63,360,0.671,-0.982,3,0.101,0,1,0.0162601626,0,130.1
45,2874,2874,4.15,1581,0.392,92,664,0.034,34.07,5212,0.196,-0.986,2,0.055,1,1,0.03201113431,0,126.62
46,2662,710,4.36,523,0.367,68,2459,0.032,43.2,2183,0.48,-0.707,0,0.061,1,0.2667167543,0.02554470323,0,122.23
47,1413,1413,4.11,2952,0.287,53,2037,0.129,67.45,9036,0.603,0.745,1,0.018,0,1,0.03750884643,0,136.33
48,1528,639,3.77,370,0.17,2,1080,0.25,34.12,7904,0.932,-0.061,0,0.049,0,0.4181937173,0.001308900524,0,113.76
49,2606,2186,3.35,2331,0.076,5,734,0.43,28.57,5001,0.169,0.966,4,0.056,1,0.8388334612,0.001918649271,0,127.69
50,825,825,4.58,2234,0.089,86,2574,0.451,64.42,3012,0.515,0.775,4,0.012,0,1,0.1042424242,0,137.49
51,4064,401,4.87,3345,0.177,55,2929,0.416,65.67,2519,0.158,0.78,4,0.022,0,0.09867125984,0.01353346457,0,122.79
52,84,84,3.5,3267,0.307,1,736,0.164,26.18,2682,0.444,-0.743,1,0.054,1,1,0.0119047619,0,121.28
53,3202,2283,4.79,536,0.106,81,1661,0.153,43.03,3452,0.2,-0.05,4,0.135,1,0.7129918801,0.02529668957,0,138.14
54,2005,2005,3.75,2970,0.124,93,2057,0.494,69.42,4168,0.836,0.987,4,0.037,1,1,0.0463840399,0,135.95
55,1635,894,3.62,288,0.24,37,2198,0.341,4.94,4131,0.255,-0.702,4,0.104,0,0.5467889908,0.02262996942,0,97.17
56,3993,1298,3.36,2763,0.095,55,2038,0.152,3.83,7817,0.417,0.148,1,0.102,0,0.3250688705,0.01377410468,0,107.42
57,3123,814,2.63,3279,0.234,4,655,0.165,37.68,6247,0.408,-0.311,4,0.167,0,0.260646814,0.001280819725,0,81.72
58,1071,1071,2.01,1382,0.155,45,555,0.217,21.68,7036,0.866,-0.224,2,0.122,1,1,0.04201680672,0,103.2
59,3511,3511,2.72,1956,0.014,10,1627,0.311,42.31,8151,0.758,0.782,0,0.183,0,1,0.002848191398,0,118.47
60,2663,2267,3.53,1454,0.161,64,1096,0.449,52.42,7189,0.058,0.176,4,0.126,1,0.8512955314,0.02403304544,0,120.57
61,3893,3893,3.14,3386,0.368,9,1976,0.099,5.9,5807,0.067,0.518,4,0.005,1,1,0.002311841767,0,122.72
62,1550,965,3.35,2121,0.117,40,2829,0.042,63.65,307,0.551,0.346,0,0.076,0,0.6225806452,0.02580645161,0,118.23
63,4848,4010,4.94,299,0.129,43,125,0.203,20.66,6090,0.428,0.058,4,0.14,0,0.8271452145,0.008869636964,0,132.86
64,211,211,3.05,2075,0.026,89,2104,0.123,28.08,7756,0.276,0.583,4,0.095,0,1,0.4218009479,0,116.01
65,4347,355,3.36,73,0.246,32,865,0.288,24.93,7344,0.793,0.941,2,0.084,1,0.08166551645,0.007361398666,0,115.03
66,2031,1564,2.4,3955,0.34,90,1948,0.35,60.63,3948,0.129,0.934,3,0.134,1,0.7700640079,0.04431314623,0,109.8
67,1045,1045,2.14,339,0.141,55,1295,0.155,13.12,7942,0.974,0.579,1,0.057,1,1,0.05263157895,0,116.66
68,4961,3891,4.33,1903,0.096,11,2564,0.343,3.04,7935,0.024,-0.025,1,0.182,1,0.7843176779,0.0022172949,0,136.7
69,3392,2015,3.71,772,0.383,1,2024,0.172,70,1604,0.118,-0.674,0,0.083,0,0.5940448113,0.0002948113208,0,107.5
70,4601,4601,4.28,1973,0.298,0,269,0.317,70.62,3225,0.311,-0.911,2,0.126,0,1,0,0,117.19
71,3848,2808,2.45,3098,0.227,64,1357,0.317,19.3,9683,0.509,-0.537,1,0.196,0,0.7297297297,0.01663201663,0,90.44
72,1325,1300,3.72,2500,0.122,32,2144,0.139,1.66,4389,0.216,-0.319,0,0.157,1,0.9811320755,0.0241509434,0,132.44
73,1066,670,2.76,150,0.088,85,1172,0.318,46.86,3192,0.736,-0.74,0,0.106,1,0.6285178236,0.07973733583,0,106.01
74,387,387,2.68,1341,0.286,75,1445,0.19,47.04,4455,0.358,-0.55,0,0.172,0,1,0.1937984496,0,101.79
75,928,928,2.03,453,0.209,35,2308,0.168,67.77,7581,0.039,-0.833,1,0.112,1,1,0.03771551724,0,99.18
76,1126,1126,2.39,2553,0.208,20,2428,0.145,22.19,9975,0.878,0.047,3,0.088,0,1,0.01776198934,0,99.87
